,Gênero musical favorito,Deseja gastar,Até quanto pretende gastar?,O quão longe gostaria de ir?,Gostaria de comer durante o passeio?,Qual o seu estado civil?,É religioso?,Tem filhos?,Gosta de esportes?,Quais esportes?,Torce para algum time?,Estilo de filme favorito:,Ponto de partida,Locais
52,4,TRUE,86,22,TRUE,2,TRUE,TRUE,TRUE,5,1,4,68,Oslo
53,7,TRUE,293,55,TRUE,4,FALSE,TRUE,FALSE,1,2,3,64,Oslo
54,4,FALSE,324,86,TRUE,2,TRUE,TRUE,TRUE,4,1,1,84,Oslo
55,7,TRUE,128,54,TRUE,2,FALSE,FALSE,FALSE,2,2,1,12,Oslo
56,3,FALSE,159,56,FALSE,2,TRUE,TRUE,TRUE,4,3,7,72,Oslo
57,3,TRUE,448,63,FALSE,1,TRUE,TRUE,TRUE,2,3,2,16,Oslo
58,4,TRUE,487,19,FALSE,3,FALSE,TRUE,FALSE,5,1,5,7,Oslo
59,2,FALSE,189,24,TRUE,2,FALSE,TRUE,FALSE,1,1,4,86,Oslo
60,5,FALSE,320,89,TRUE,2,TRUE,FALSE,TRUE,3,1,5,71,Oslo
61,7,FALSE,69,40,FALSE,1,TRUE,FALSE,FALSE,5,3,2,1,Oslo
62,1,TRUE,57,3,FALSE,1,TRUE,FALSE,TRUE,2,4,3,78,Oslo
63,5,TRUE,233,22,TRUE,3,TRUE,FALSE,FALSE,3,2,5,8,Oslo
64,4,FALSE,61,97,FALSE,4,TRUE,FALSE,FALSE,4,1,1,3,Oslo
65,5,TRUE,413,2,TRUE,3,TRUE,FALSE,FALSE,1,3,6,54,Oslo
66,7,TRUE,197,21,TRUE,2,TRUE,FALSE,TRUE,2,3,5,35,Oslo
67,3,TRUE,279,6,FALSE,1,FALSE,FALSE,FALSE,1,2,6,98,Oslo
68,6,FALSE,252,22,FALSE,4,TRUE,TRUE,TRUE,3,4,2,33,Oslo
69,1,TRUE,149,54,FALSE,4,FALSE,FALSE,FALSE,1,3,7,55,Oslo
70,5,TRUE,327,96,FALSE,3,TRUE,TRUE,FALSE,5,3,5,50,Oslo
71,3,TRUE,218,67,TRUE,1,TRUE,FALSE,FALSE,2,4,6,10,Oslo
72,5,FALSE,375,34,TRUE,4,FALSE,FALSE,FALSE,1,3,1,35,Oslo
73,3,FALSE,95,55,FALSE,2,TRUE,FALSE,FALSE,5,3,5,69,Oslo
74,4,FALSE,89,15,FALSE,3,TRUE,TRUE,TRUE,1,3,2,50,Oslo
75,3,TRUE,20,3,TRUE,2,TRUE,TRUE,FALSE,4,2,6,97,Oslo
76,4,FALSE,117,26,TRUE,3,TRUE,FALSE,FALSE,3,4,5,20,Oslo
77,2,FALSE,116,57,FALSE,3,TRUE,TRUE,TRUE,1,2,7,32,Oslo
78,1,TRUE,76,31,FALSE,1,TRUE,TRUE,FALSE,5,4,3,70,Oslo
79,6,TRUE,215,75,FALSE,4,FALSE,FALSE,FALSE,3,1,3,94,Oslo
80,6,TRUE,272,63,TRUE,3,FALSE,TRUE,TRUE,1,1,7,43,Oslo
81,6,FALSE,81,57,TRUE,4,FALSE,TRUE,FALSE,5,4,3,33,Oslo
82,7,FALSE,73,37,TRUE,2,FALSE,FALSE,TRUE,3,1,6,64,Oslo
83,6,FALSE,133,100,FALSE,1,FALSE,FALSE,FALSE,2,2,3,80,Oslo
84,2,TRUE,319,78,TRUE,1,FALSE,TRUE,FALSE,4,4,2,78,Oslo
85,1,FALSE,206,29,FALSE,1,TRUE,TRUE,FALSE,4,4,6,79,Oslo
86,1,FALSE,244,33,TRUE,3,FALSE,FALSE,TRUE,1,3,7,27,Oslo
87,2,FALSE,140,20,FALSE,3,FALSE,FALSE,TRUE,1,3,6,21,Oslo
88,6,FALSE,170,24,TRUE,2,TRUE,FALSE,TRUE,2,3,7,58,Oslo
89,6,FALSE,229,35,FALSE,2,TRUE,TRUE,FALSE,5,2,3,21,Oslo
90,7,FALSE,38,10,FALSE,2,TRUE,TRUE,TRUE,1,3,7,70,Oslo
91,3,TRUE,257,40,FALSE,1,FALSE,FALSE,TRUE,3,4,6,90,Oslo
92,1,FALSE,252,31,FALSE,3,TRUE,TRUE,FALSE,2,2,7,64,Oslo
93,3,FALSE,415,49,FALSE,1,TRUE,TRUE,TRUE,5,1,4,65,Oslo
94,6,TRUE,76,34,FALSE,1,TRUE,FALSE,FALSE,1,2,1,24,Oslo
95,1,FALSE,220,2,FALSE,3,TRUE,FALSE,TRUE,4,4,2,70,Oslo
96,1,TRUE,87,55,TRUE,2,FALSE,TRUE,FALSE,5,2,4,45,Oslo
97,1,TRUE,435,6,FALSE,4,FALSE,TRUE,FALSE,4,2,6,38,Oslo
98,6,FALSE,232,13,FALSE,2,TRUE,TRUE,TRUE,4,1,5,33,Oslo
99,4,TRUE,261,89,TRUE,4,FALSE,FALSE,FALSE,2,1,5,97,Oslo
100,4,FALSE,35,87,FALSE,1,TRUE,TRUE,TRUE,1,3,3,76,Oslo
101,1,FALSE,128,98,TRUE,4,FALSE,FALSE,FALSE,2,4,5,43,Oslo
102,6,TRUE,11,83,TRUE,3,FALSE,FALSE,FALSE,3,4,1,23,Oslo
103,4,FALSE,56,51,FALSE,3,FALSE,TRUE,TRUE,2,3,1,89,Oslo
104,3,TRUE,266,74,TRUE,2,TRUE,FALSE,TRUE,4,1,2,97,Oslo
105,5,FALSE,422,17,TRUE,3,TRUE,FALSE,TRUE,5,3,3,52,Oslo
106,3,TRUE,205,27,TRUE,2,FALSE,FALSE,TRUE,3,3,1,88,Oslo
107,1,FALSE,88,81,TRUE,2,TRUE,FALSE,TRUE,3,4,2,41,Oslo
108,4,TRUE,261,12,TRUE,2,TRUE,FALSE,TRUE,4,4,2,33,Oslo
109,7,FALSE,474,2,TRUE,1,FALSE,TRUE,FALSE,1,3,5,32,Oslo
110,7,FALSE,404,1,FALSE,3,TRUE,FALSE,TRUE,1,4,5,92,Oslo
111,6,TRUE,135,20,FALSE,3,TRUE,FALSE,FALSE,2,4,3,79,Oslo
112,7,TRUE,224,47,TRUE,4,TRUE,FALSE,TRUE,1,1,6,60,Oslo
113,6,TRUE,18,63,TRUE,4,FALSE,TRUE,TRUE,3,2,5,75,Oslo
114,1,TRUE,445,50,TRUE,3,TRUE,FALSE,TRUE,3,2,7,46,Oslo
115,4,TRUE,2,20,TRUE,3,FALSE,TRUE,TRUE,2,3,2,77,Oslo
116,6,FALSE,231,49,FALSE,3,TRUE,TRUE,TRUE,1,2,7,46,Oslo
117,1,TRUE,381,45,TRUE,4,FALSE,FALSE,TRUE,5,1,3,32,Oslo
118,2,TRUE,89,8,TRUE,4,TRUE,FALSE,FALSE,2,1,3,29,Oslo
119,1,FALSE,466,80,FALSE,1,TRUE,TRUE,TRUE,3,2,3,20,Oslo
120,2,FALSE,275,15,FALSE,4,FALSE,FALSE,FALSE,3,4,2,44,Oslo
121,3,FALSE,365,84,TRUE,4,FALSE,FALSE,TRUE,1,3,1,79,Oslo
122,6,FALSE,23,83,FALSE,3,FALSE,TRUE,FALSE,2,2,7,47,Oslo
123,3,TRUE,375,78,FALSE,4,TRUE,FALSE,TRUE,1,1,7,80,Oslo
124,5,FALSE,195,47,FALSE,2,FALSE,TRUE,TRUE,2,1,7,26,Oslo
125,2,TRUE,136,24,TRUE,4,TRUE,TRUE,FALSE,2,2,5,52,Oslo
126,4,FALSE,447,13,TRUE,4,TRUE,FALSE,FALSE,2,3,4,70,Oslo
127,5,TRUE,367,14,TRUE,3,TRUE,FALSE,TRUE,4,1,3,26,Oslo
128,7,TRUE,259,24,FALSE,3,FALSE,FALSE,TRUE,1,2,5,42,Oslo
129,5,FALSE,344,11,FALSE,1,TRUE,TRUE,TRUE,3,3,3,22,Oslo
130,3,FALSE,289,49,TRUE,3,FALSE,FALSE,TRUE,4,3,6,90,Oslo
131,2,FALSE,421,92,TRUE,2,TRUE,FALSE,TRUE,5,3,6,11,Oslo
132,3,TRUE,62,6,FALSE,2,TRUE,TRUE,TRUE,4,2,3,85,Oslo
133,7,FALSE,268,6,FALSE,4,FALSE,FALSE,FALSE,2,2,5,25,Oslo
134,6,FALSE,171,55,FALSE,2,FALSE,FALSE,FALSE,1,3,4,30,Oslo
135,2,FALSE,37,73,TRUE,1,FALSE,TRUE,FALSE,5,4,7,44,Oslo
136,7,FALSE,18,9,TRUE,1,FALSE,FALSE,TRUE,1,1,4,32,Oslo
137,6,FALSE,248,65,FALSE,1,FALSE,FALSE,TRUE,5,2,2,64,Oslo
138,2,TRUE,128,50,FALSE,2,TRUE,TRUE,TRUE,3,2,1,31,Oslo
139,3,FALSE,378,92,TRUE,1,TRUE,FALSE,TRUE,2,2,7,67,Oslo
140,3,TRUE,121,91,TRUE,3,TRUE,FALSE,FALSE,3,1,1,78,Oslo
141,2,FALSE,461,31,TRUE,4,FALSE,TRUE,TRUE,3,1,7,54,Oslo
142,6,FALSE,314,10,FALSE,3,FALSE,TRUE,FALSE,3,1,1,9,Oslo
143,4,FALSE,37,52,TRUE,1,FALSE,FALSE,FALSE,4,3,1,77,Oslo
144,4,TRUE,91,92,TRUE,3,TRUE,TRUE,FALSE,2,4,6,23,Oslo
145,1,FALSE,480,29,FALSE,2,TRUE,FALSE,TRUE,3,3,1,2,Oslo
146,1,TRUE,43,29,FALSE,4,FALSE,FALSE,FALSE,2,1,7,85,Oslo
147,3,FALSE,390,97,TRUE,2,FALSE,FALSE,TRUE,5,4,1,9,Oslo
148,5,FALSE,182,7,TRUE,1,FALSE,FALSE,TRUE,2,2,4,27,Oslo
149,3,FALSE,54,17,FALSE,3,TRUE,TRUE,FALSE,2,1,6,41,Oslo
150,5,TRUE,179,66,TRUE,1,FALSE,TRUE,TRUE,2,3,6,27,Oslo
151,2,FALSE,206,71,FALSE,1,FALSE,FALSE,TRUE,1,4,5,8,Oslo
152,2,TRUE,350,78,FALSE,3,FALSE,TRUE,FALSE,2,2,1,1,Oslo
153,3,FALSE,5,41,FALSE,3,TRUE,TRUE,FALSE,5,4,3,53,Oslo
154,4,TRUE,386,23,TRUE,4,TRUE,TRUE,FALSE,4,2,1,86,Oslo
155,5,FALSE,43,79,FALSE,1,TRUE,TRUE,FALSE,1,4,6,66,Oslo
156,6,TRUE,174,12,TRUE,1,TRUE,FALSE,TRUE,4,4,6,20,Oslo
157,6,FALSE,415,58,TRUE,4,FALSE,FALSE,TRUE,1,3,4,69,Oslo
158,4,TRUE,39,97,TRUE,2,FALSE,TRUE,FALSE,1,2,5,31,Oslo
159,3,TRUE,327,31,TRUE,2,FALSE,FALSE,FALSE,4,1,3,33,Oslo
160,6,FALSE,211,97,FALSE,3,TRUE,FALSE,TRUE,1,2,4,48,Oslo
161,4,TRUE,44,59,TRUE,3,TRUE,TRUE,TRUE,2,2,4,2,Oslo
162,6,TRUE,151,7,TRUE,1,FALSE,FALSE,TRUE,2,1,3,13,Oslo
163,3,FALSE,357,52,TRUE,1,FALSE,FALSE,TRUE,5,4,1,92,Oslo
164,5,TRUE,200,44,FALSE,3,TRUE,FALSE,TRUE,4,3,5,37,Oslo
165,2,FALSE,174,47,TRUE,4,FALSE,FALSE,TRUE,1,4,6,80,Oslo
166,4,TRUE,269,89,TRUE,3,FALSE,FALSE,FALSE,4,1,2,9,Oslo
167,7,TRUE,368,38,FALSE,2,FALSE,FALSE,FALSE,2,2,5,13,Oslo
168,4,TRUE,116,5,FALSE,2,FALSE,TRUE,TRUE,1,2,1,85,Oslo
169,1,TRUE,347,52,FALSE,4,FALSE,FALSE,FALSE,2,4,6,81,Oslo
170,2,FALSE,448,77,TRUE,3,FALSE,TRUE,TRUE,3,1,5,90,Oslo
171,3,TRUE,258,63,FALSE,4,FALSE,TRUE,TRUE,1,3,6,64,Oslo
172,5,FALSE,221,79,FALSE,1,FALSE,FALSE,TRUE,5,4,2,63,Oslo
173,1,FALSE,331,42,FALSE,3,FALSE,TRUE,FALSE,3,1,5,5,Oslo
174,7,FALSE,239,6,TRUE,4,TRUE,FALSE,TRUE,1,3,4,98,Oslo
175,7,TRUE,410,20,FALSE,2,TRUE,TRUE,TRUE,3,4,2,87,Oslo
176,7,FALSE,251,99,FALSE,1,FALSE,TRUE,TRUE,1,1,1,82,Oslo
177,6,TRUE,164,89,FALSE,2,FALSE,FALSE,TRUE,5,1,4,27,Oslo
178,2,FALSE,398,60,TRUE,4,FALSE,FALSE,TRUE,2,3,2,56,Oslo
179,6,FALSE,481,73,FALSE,3,FALSE,TRUE,TRUE,1,2,1,75,Oslo
180,2,TRUE,452,37,TRUE,1,TRUE,TRUE,TRUE,1,3,4,34,Oslo
181,5,FALSE,158,81,FALSE,1,FALSE,FALSE,TRUE,2,4,5,40,Oslo
182,3,FALSE,372,66,FALSE,4,FALSE,TRUE,TRUE,2,4,4,87,Oslo
183,7,FALSE,109,66,FALSE,3,TRUE,FALSE,FALSE,5,2,4,81,Oslo
184,3,FALSE,435,81,TRUE,2,TRUE,FALSE,TRUE,2,1,5,12,Oslo
185,3,FALSE,148,72,FALSE,1,FALSE,TRUE,TRUE,2,4,7,15,Oslo
186,7,FALSE,60,35,FALSE,3,TRUE,TRUE,FALSE,4,4,5,53,Oslo
187,2,FALSE,82,77,TRUE,3,TRUE,TRUE,FALSE,1,3,1,47,Oslo
188,4,TRUE,433,66,TRUE,2,TRUE,FALSE,TRUE,5,3,1,14,Oslo
189,3,FALSE,206,38,TRUE,2,TRUE,TRUE,TRUE,1,4,1,97,Oslo
190,4,FALSE,289,21,TRUE,2,FALSE,TRUE,FALSE,2,2,5,36,Oslo
191,4,TRUE,402,49,TRUE,4,TRUE,FALSE,TRUE,5,4,3,60,Oslo
192,3,FALSE,254,95,TRUE,2,FALSE,FALSE,TRUE,2,4,5,28,Oslo
193,1,FALSE,311,43,TRUE,4,TRUE,TRUE,TRUE,3,1,3,83,Oslo
194,3,FALSE,463,37,FALSE,4,FALSE,TRUE,FALSE,3,3,6,59,Oslo
195,3,TRUE,457,39,TRUE,3,TRUE,TRUE,FALSE,3,4,1,37,Oslo
196,4,TRUE,377,35,FALSE,1,FALSE,TRUE,FALSE,2,4,6,67,Oslo
197,2,FALSE,19,24,TRUE,3,TRUE,TRUE,FALSE,1,1,7,67,Oslo
198,4,TRUE,473,94,FALSE,1,FALSE,FALSE,FALSE,1,2,7,64,Oslo
199,6,TRUE,466,79,FALSE,2,FALSE,FALSE,TRUE,4,4,4,18,Oslo
200,5,FALSE,157,55,TRUE,2,FALSE,FALSE,TRUE,4,3,7,58,Oslo
201,2,FALSE,118,33,FALSE,3,TRUE,FALSE,FALSE,4,4,3,37,Oslo
202,7,FALSE,322,2,FALSE,1,TRUE,TRUE,FALSE,4,4,6,58,Oslo
203,5,FALSE,365,99,TRUE,2,FALSE,TRUE,FALSE,4,1,3,40,Oslo
204,6,FALSE,120,87,FALSE,3,FALSE,TRUE,FALSE,5,2,2,30,Oslo
205,1,FALSE,398,17,TRUE,2,TRUE,TRUE,TRUE,2,3,3,26,Oslo
206,2,FALSE,77,53,FALSE,2,TRUE,TRUE,TRUE,2,1,4,34,Oslo
207,7,FALSE,405,46,TRUE,2,FALSE,TRUE,TRUE,4,3,7,47,Oslo
208,2,TRUE,267,75,FALSE,4,TRUE,TRUE,TRUE,4,2,6,4,Oslo
209,6,TRUE,346,94,TRUE,3,TRUE,FALSE,TRUE,5,2,1,93,Oslo
210,1,TRUE,189,13,FALSE,3,FALSE,FALSE,FALSE,1,3,1,20,Oslo
211,5,FALSE,106,93,FALSE,4,TRUE,FALSE,FALSE,2,2,3,59,Oslo
212,2,FALSE,264,82,TRUE,1,TRUE,FALSE,FALSE,4,2,2,54,Oslo
213,3,FALSE,279,3,FALSE,4,TRUE,TRUE,TRUE,5,1,7,4,Oslo
214,7,FALSE,381,23,FALSE,2,TRUE,TRUE,FALSE,1,4,1,35,Oslo
215,6,TRUE,240,94,TRUE,1,FALSE,TRUE,TRUE,4,2,4,89,Oslo
216,6,TRUE,217,60,FALSE,1,FALSE,FALSE,FALSE,2,2,1,65,Oslo
217,5,FALSE,367,86,TRUE,1,TRUE,FALSE,FALSE,5,3,3,5,Oslo
218,1,FALSE,118,60,TRUE,2,TRUE,TRUE,TRUE,3,1,7,88,Oslo
219,3,TRUE,206,65,TRUE,3,FALSE,FALSE,FALSE,5,3,1,70,Oslo
220,4,FALSE,109,88,FALSE,2,FALSE,TRUE,FALSE,1,1,7,94,Oslo
221,3,FALSE,491,1,TRUE,1,TRUE,TRUE,TRUE,5,2,7,81,Oslo
222,6,TRUE,118,13,TRUE,4,TRUE,FALSE,FALSE,1,3,7,59,Oslo
223,6,TRUE,342,80,TRUE,4,TRUE,TRUE,FALSE,3,4,3,21,Oslo
224,6,TRUE,224,14,FALSE,3,FALSE,FALSE,TRUE,1,3,3,87,Oslo
225,1,TRUE,405,51,FALSE,2,FALSE,FALSE,TRUE,1,3,4,30,Oslo
226,6,TRUE,439,61,TRUE,4,TRUE,FALSE,TRUE,2,1,5,67,Oslo
227,2,FALSE,493,64,FALSE,4,TRUE,TRUE,FALSE,1,1,4,100,Oslo
228,2,TRUE,135,84,TRUE,4,FALSE,FALSE,FALSE,2,2,5,96,Oslo
229,1,TRUE,488,51,FALSE,3,TRUE,FALSE,TRUE,1,4,6,36,Oslo
230,4,TRUE,41,45,FALSE,2,FALSE,FALSE,TRUE,2,1,1,76,Oslo
231,7,FALSE,181,16,TRUE,3,TRUE,FALSE,FALSE,3,2,1,89,Oslo
232,6,TRUE,234,94,FALSE,4,TRUE,TRUE,TRUE,3,4,3,50,Oslo
233,5,FALSE,141,79,TRUE,2,TRUE,TRUE,FALSE,5,2,7,18,Oslo
234,4,TRUE,330,71,TRUE,4,TRUE,TRUE,FALSE,3,3,6,72,Oslo
235,1,FALSE,463,12,TRUE,1,TRUE,FALSE,FALSE,1,4,5,22,Oslo
236,3,TRUE,216,23,FALSE,2,TRUE,FALSE,TRUE,4,1,6,36,Oslo
237,1,TRUE,135,81,FALSE,3,FALSE,FALSE,TRUE,5,1,3,3,Oslo
238,3,TRUE,109,27,TRUE,2,FALSE,FALSE,FALSE,4,4,1,69,Oslo
239,2,TRUE,126,28,TRUE,2,FALSE,TRUE,FALSE,4,3,4,93,Oslo
240,6,FALSE,498,72,TRUE,1,FALSE,FALSE,TRUE,1,1,7,56,Oslo
241,1,TRUE,194,31,FALSE,1,FALSE,TRUE,FALSE,5,3,7,43,Oslo
242,5,TRUE,81,14,FALSE,3,FALSE,FALSE,TRUE,5,1,6,12,Oslo
243,7,TRUE,389,93,TRUE,4,TRUE,FALSE,TRUE,1,2,1,34,Oslo
244,1,TRUE,212,61,TRUE,1,TRUE,TRUE,FALSE,3,3,5,37,Oslo
245,7,FALSE,412,28,FALSE,4,FALSE,FALSE,TRUE,2,4,7,73,Oslo
246,7,FALSE,382,13,TRUE,4,TRUE,TRUE,TRUE,3,1,1,6,Oslo
247,5,TRUE,291,73,TRUE,1,TRUE,TRUE,TRUE,1,2,2,97,Oslo
248,5,TRUE,346,64,TRUE,3,FALSE,FALSE,TRUE,4,3,2,36,Oslo
249,2,FALSE,442,43,FALSE,1,TRUE,FALSE,FALSE,1,2,7,60,Oslo
250,1,FALSE,130,86,FALSE,3,FALSE,TRUE,TRUE,2,1,4,31,Oslo
251,2,FALSE,278,81,TRUE,1,TRUE,FALSE,FALSE,5,2,1,24,Oslo
252,3,FALSE,461,82,TRUE,1,TRUE,FALSE,TRUE,2,3,7,38,Oslo
253,2,FALSE,241,20,TRUE,3,FALSE,TRUE,FALSE,3,2,7,42,Oslo
254,5,FALSE,170,38,FALSE,2,FALSE,FALSE,FALSE,5,1,6,50,Oslo
255,2,TRUE,323,31,TRUE,4,TRUE,TRUE,TRUE,4,3,6,39,Oslo
256,1,FALSE,13,2,FALSE,3,FALSE,FALSE,TRUE,3,3,6,72,Oslo
257,5,TRUE,62,38,FALSE,3,TRUE,FALSE,FALSE,4,2,7,62,Oslo
258,2,FALSE,34,35,TRUE,2,FALSE,FALSE,FALSE,3,3,2,7,Oslo
259,3,FALSE,347,84,FALSE,4,TRUE,TRUE,FALSE,1,3,4,74,Oslo
260,3,FALSE,382,73,FALSE,2,TRUE,TRUE,FALSE,1,2,6,32,Oslo
261,3,FALSE,192,80,TRUE,1,FALSE,TRUE,TRUE,1,2,6,32,Oslo
262,2,FALSE,48,80,FALSE,3,TRUE,FALSE,FALSE,1,3,4,93,Oslo
263,3,FALSE,172,71,TRUE,2,FALSE,FALSE,FALSE,2,1,3,67,Oslo
264,2,FALSE,179,37,FALSE,2,TRUE,FALSE,TRUE,2,3,1,80,Oslo
265,3,FALSE,497,81,TRUE,3,TRUE,TRUE,FALSE,3,1,7,54,Oslo
266,3,TRUE,53,4,TRUE,2,FALSE,TRUE,TRUE,3,3,3,86,Oslo
267,7,TRUE,474,89,FALSE,2,TRUE,TRUE,TRUE,3,1,5,2,Oslo
268,6,FALSE,126,15,TRUE,1,FALSE,TRUE,TRUE,4,2,7,72,Oslo
269,5,FALSE,147,3,FALSE,2,TRUE,TRUE,TRUE,2,4,5,82,Oslo
270,1,TRUE,42,35,TRUE,2,TRUE,TRUE,FALSE,2,2,3,2,Oslo
271,5,TRUE,103,59,TRUE,2,TRUE,TRUE,FALSE,3,3,6,57,Oslo
272,2,TRUE,282,2,TRUE,3,TRUE,TRUE,FALSE,4,3,1,95,Oslo
273,3,FALSE,495,52,TRUE,3,FALSE,TRUE,FALSE,3,1,6,94,Oslo
274,4,TRUE,333,55,FALSE,2,FALSE,FALSE,FALSE,3,4,6,3,Oslo
275,7,TRUE,24,55,FALSE,1,FALSE,TRUE,FALSE,4,3,6,82,Oslo
276,6,TRUE,450,88,FALSE,1,FALSE,FALSE,TRUE,3,2,3,2,Oslo
277,2,TRUE,409,61,TRUE,3,FALSE,TRUE,TRUE,2,4,6,99,Oslo
278,4,TRUE,364,23,FALSE,2,TRUE,TRUE,FALSE,1,1,5,72,Oslo
279,3,TRUE,271,2,FALSE,1,TRUE,FALSE,FALSE,5,1,3,27,Oslo
280,1,TRUE,250,5,TRUE,2,TRUE,TRUE,FALSE,1,3,4,78,Oslo
281,3,FALSE,291,60,FALSE,3,FALSE,TRUE,FALSE,2,4,4,68,Oslo
282,4,FALSE,239,46,TRUE,4,FALSE,FALSE,TRUE,4,3,6,37,Oslo
283,2,TRUE,302,71,TRUE,3,FALSE,FALSE,TRUE,3,4,6,43,Oslo
284,2,TRUE,251,43,FALSE,2,FALSE,FALSE,TRUE,1,2,6,34,Oslo
